GENERAZIONE,MAX,MEDIA,VARIANZA
1113,113,65,592,
1114,109,69,457,
1115,110,76,306,
1116,105,78,261,
1117,104,82,225,
1118,107,86,165,
1119,111,88,150,
1120,111,91,140,
1121,111,93,143,
1122,113,94,127,
1123,113,96,92,
1124,113,97,90,
1125,113,99,64,
1126,113,101,61,
1127,113,102,49,
1128,113,104,36,
1129,113,104,36,
1130,113,106,30,
1131,113,108,20,
1132,113,109,15,
1133,113,109,17,
1134,113,109,14,
1135,113,110,15,
1136,113,110,14,
1137,114,110,11,
1138,114,111,6,
1139,114,111,5,
1140,114,111,5,
1141,114,111,5,
1142,114,112,4,
1143,114,112,3,
1144,114,113,1,
1145,114,113,1,
1146,114,113,1,
1147,114,113,1,
1148,114,113,1,
1149,114,113,1,
1150,114,113,0,
1151,114,113,0,
1152,114,34,791,
1153,114,37,676,
1154,114,44,798,
1155,114,51,872,
1156,114,62,1025,
1157,114,77,836,
1158,114,83,693,
1159,114,85,494,
1160,114,90,432,
1161,114,93,366,
1162,114,98,232,
1163,114,101,187,
1164,114,104,151,
1165,114,106,112,
1166,114,108,62,
1167,114,109,49,
1168,114,110,41,
1169,114,112,13,
1170,114,112,10,
1171,114,112,12,
1172,114,113,4,
1173,114,113,3,
1174,114,113,3,
1175,114,113,2,
1176,114,113,0,
1177,114,113,0,
1178,114,34,805,
1179,114,41,1017,
1180,114,52,1156,
1181,114,65,1241,
1182,114,79,1023,
1183,114,92,674,
1184,114,99,362,
1185,114,100,283,
1186,114,103,173,
1187,114,105,122,
1188,114,108,58,
1189,114,108,58,
1190,114,109,53,
1191,114,109,48,
1192,114,109,52,
1193,114,108,54,
1194,114,109,41,
1195,114,110,33,
1196,114,111,25,
1197,114,111,18,
1198,114,112,10,
1199,114,111,10,
1200,114,112,7,
1201,114,112,5,
1202,114,113,4,
1203,114,113,2,
1204,114,113,2,
1205,114,113,2,
1206,114,113,1,
1207,114,113,1,
1208,114,113,1,
1209,114,113,2,
1210,114,113,2,
1211,114,113,1,
1212,114,113,0,
1213,114,113,0,
1214,114,34,804,
1215,114,39,1111,
1216,114,51,1366,
1217,114,65,1501,
1218,114,76,1171,
1219,114,88,892,
1220,114,97,574,
1221,114,104,275,
1222,114,105,170,
1223,114,108,101,
1224,114,109,80,
1225,114,111,34,
1226,114,112,14,
1227,114,112,9,
1228,114,113,7,
1229,114,113,3,
1230,114,113,2,
1231,114,113,1,
1232,114,113,0,
1233,114,113,0,
1234,114,33,829,
1235,114,38,821,
1236,114,47,954,
1237,114,54,705,
1238,114,63,769,
1239,114,69,642,
1240,114,77,570,
1241,114,86,447,
1242,114,88,521,
1243,114,92,468,
1244,114,96,379,
1245,114,101,277,
1246,114,102,222,
1247,114,105,101,
1248,114,107,80,
1249,114,108,68,
1250,114,108,62,
1251,114,109,40,
1252,114,109,49,
1253,114,111,34,
1254,114,112,21,
1255,114,112,13,
1256,114,113,2,
1257,114,113,1,
1258,114,113,1,
1259,114,113,1,
1260,114,113,1,
1261,114,113,0,
1262,114,113,0,
1263,114,34,802,
1264,114,41,952,
1265,114,52,1172,
1266,114,65,1163,
1267,114,77,1162,
1268,114,86,754,
1269,114,93,467,
1270,114,98,362,
1271,114,105,174,
1272,114,107,131,
1273,114,109,90,
1274,114,110,64,
1275,114,110,53,
1276,114,110,46,
1277,114,110,50,
1278,114,110,36,
1279,114,111,31,
1280,114,111,20,
1281,114,112,11,
1282,114,113,9,
1283,114,113,5,
1284,114,113,2,
1285,114,113,1,
1286,114,113,0,
1287,114,113,0,
1288,114,34,799,
1289,114,39,763,
1290,114,47,815,
1291,114,56,859,
1292,114,63,779,
1293,114,70,698,
1294,114,77,640,
1295,114,83,503,
1296,114,90,380,
1297,114,95,292,
1298,114,102,171,
1299,114,105,101,
1300,114,108,43,
1301,114,109,30,
1302,114,111,18,
1303,114,112,10,
1304,114,112,7,
1305,114,112,5,
1306,114,113,5,
1307,114,113,4,
1308,114,113,3,
1309,114,113,0,
1310,114,113,0,
1311,114,33,812,
1312,114,39,799,
1313,114,46,837,
1314,114,53,647,
1315,114,58,568,
1316,114,65,483,
1317,114,70,382,
1318,114,75,381,
1319,114,79,321,
1320,114,85,292,
1321,114,89,227,
1322,114,92,219,
1323,114,94,186,
1324,114,98,153,
1325,114,99,141,
1326,114,101,113,
1327,114,102,97,
1328,114,104,62,
1329,114,105,54,
1330,114,107,40,
1331,114,108,30,
1332,114,110,33,
1333,115,110,32,
1334,115,111,16,
1335,115,111,15,
1336,115,111,14,
1337,115,111,16,
1338,115,112,7,
1339,115,112,7,
1340,115,112,6,
1341,115,113,6,
1342,115,113,6,
1343,115,114,3,
1344,115,114,3,
1345,115,114,2,
1346,115,114,0,
1347,115,114,0,
1348,115,34,814,
1349,115,40,983,
1350,115,49,1054,
1351,115,60,1001,
1352,115,62,848,
1353,115,68,722,
1354,115,76,534,
1355,115,81,392,
1356,112,85,231,
1357,114,89,201,
1358,115,96,123,
1359,115,99,83,
1360,115,99,112,
1361,115,100,86,
1362,115,103,83,
1363,115,104,78,
1364,115,107,49,
1365,115,108,46,
1366,115,110,33,
1367,115,111,32,
1368,115,112,16,
1369,115,112,15,
1370,116,112,17,
1371,116,112,16,
1372,115,113,7,
1373,115,113,5,
1374,116,113,3,
1375,116,114,3,
1376,116,114,2,
1377,116,114,2,
1378,116,114,3,
1379,116,114,2,
1380,116,114,2,
1381,116,114,2,
1382,116,114,1,
1383,116,115,1,
1384,116,115,0,
1385,116,115,0,
1386,116,34,832,
1387,116,41,905,
1388,116,49,929,
1389,116,60,1049,
1390,116,72,993,
1391,116,83,828,
1392,116,90,659,
1393,116,94,483,
1394,116,101,261,
1395,116,102,232,
1396,116,107,77,
1397,116,109,64,
1398,116,110,54,
1399,116,113,24,
1400,116,113,16,
1401,116,114,13,
1402,116,113,18,
1403,116,114,14,
1404,116,114,6,
1405,116,114,7,
1406,116,115,3,
1407,116,115,2,
1408,116,115,2,
1409,116,115,2,
1410,116,115,2,
1411,116,115,0,
1412,116,115,0,
1413,116,34,832,
1414,116,39,819,
1415,116,47,949,
1416,116,57,979,
1417,116,67,826,
1418,116,74,676,
1419,116,83,662,
1420,116,92,425,
1421,116,98,206,
1422,116,101,204,
1423,116,102,178,
1424,116,105,144,
1425,116,107,95,
1426,116,110,57,
1427,116,110,47,
1428,116,112,32,
1429,116,112,27,
1430,116,113,16,
1431,116,113,17,
